Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude,Temp_Mean_lag1,Temp_Mean_lag2,Temp_Mean_lag3,Temp_Mean_lag4,Rain_Sum_lag1,Rain_Sum_lag2,Rain_Sum_lag3,Rain_Sum_lag4,Humidity_Proxy_lag1,Humidity_Proxy_lag2,Humidity_Proxy_lag3,Humidity_Proxy_lag4,Rain_roll3,Temp_roll3,Month_sin,Month_cos,Cases_log,Risk_Label
Eastern,Ampara,11,5,2019,2019-05-01,Kalmunai,33.45161290322581,27.3,30.138709677419357,13.5,13.5,5.522258064516129,17.461290322580645,7.4000015,81.80002,28.92,27.529032258064515,26.37857142857143,25.65806451612903,37.0,26.8,103.8,63.9,5.069333333333334,5.050000000000001,3.800357142857143,3.76,25.76666666666667,28.86258064516129,0.49999999999999994,-0.8660254037844387,2.4849066497880004,0
Eastern,Ampara,24,6,2019,2019-06-01,Kalmunai,34.47666666666667,27.343333333333337,30.55333333333333,12.5,12.5,5.368333333333334,15.18,7.4000015,81.80002,30.138709677419357,28.92,27.529032258064515,26.37857142857143,13.5,37.0,26.8,103.8,5.522258064516129,5.069333333333334,5.050000000000001,3.800357142857143,21.000000000000004,29.870681003584227,1.2246467991473532e-16,-1.0,3.2188758248682006,0
Eastern,Ampara,26,7,2019,2019-07-01,Kalmunai,33.84838709677419,26.951612903225808,29.958064516129035,18.2,18.2,5.518387096774194,17.729032258064517,7.4000015,81.80002,30.55333333333333,30.138709677419357,28.92,27.529032258064515,12.5,13.5,37.0,26.8,5.368333333333334,5.522258064516129,5.069333333333334,5.050000000000001,14.73333333333334,30.216702508960577,-0.4999999999999997,-0.8660254037844388,3.295836866004329,0
Eastern,Ampara,33,8,2019,2019-08-01,Kalmunai,32.81290322580645,26.270967741935483,28.958064516129035,62.8,62.8,4.862903225806452,16.14516129032258,7.4000015,81.80002,29.958064516129035,30.55333333333333,30.138709677419357,28.92,18.2,12.5,13.5,37.0,5.518387096774194,5.368333333333334,5.522258064516129,5.069333333333334,31.16666666666667,29.823154121863798,-0.8660254037844385,-0.5000000000000004,3.5263605246161616,0
Eastern,Ampara,24,9,2019,2019-09-01,Kalmunai,31.60333333333333,25.77,28.16,119.9,119.9,4.807666666666666,16.75,7.4000015,81.80002,28.958064516129035,29.958064516129035,30.55333333333333,30.138709677419357,62.8,18.2,12.5,13.5,4.862903225806452,5.518387096774194,5.368333333333334,5.522258064516129,66.96666666666668,29.025376344086027,-1.0,-1.8369701987210297e-16,3.2188758248682006,0
Eastern,Ampara,37,10,2019,2019-10-01,Kalmunai,28.774193548387096,24.85483870967742,26.529032258064515,349.8,349.8,3.3680645161290323,14.55483870967742,7.4000015,81.80002,28.16,28.958064516129035,29.958064516129035,30.55333333333333,119.9,62.8,18.2,12.5,4.807666666666666,4.862903225806452,5.518387096774194,5.368333333333334,177.5,27.882365591397846,-0.8660254037844386,0.5000000000000001,3.6375861597263857,0
Eastern,Ampara,60,11,2019,2019-11-01,Kalmunai,28.65666666666667,24.613333333333333,26.526666666666664,252.4,252.4,3.4856666666666665,14.33,7.4000015,81.80002,26.529032258064515,28.16,28.958064516129035,29.958064516129035,349.8,119.9,62.8,18.2,3.3680645161290323,4.807666666666666,4.862903225806452,5.518387096774194,240.70000000000002,27.071899641577062,-0.5000000000000004,0.8660254037844384,4.110873864173311,0
Eastern,Ampara,81,12,2019,2019-12-01,Kalmunai,27.51290322580645,24.70967741935484,26.0,291.1,291.1,2.9561290322580644,16.97741935483871,7.4000015,81.80002,26.526666666666664,26.529032258064515,28.16,28.958064516129035,252.4,349.8,119.9,62.8,3.4856666666666665,3.3680645161290323,4.807666666666666,4.862903225806452,297.7666666666667,26.35189964157706,-2.4492935982947064e-16,1.0,4.406719247264253,0
Eastern,Ampara,152,1,2020,2020-01-01,Kalmunai,28.1,24.429032258064517,26.31290322580645,74.1,74.1,4.041612903225807,18.793548387096774,7.4000015,81.80002,26.0,26.526666666666664,26.529032258064515,28.16,291.1,252.4,349.8,119.9,2.9561290322580644,3.4856666666666665,3.3680645161290323,4.807666666666666,205.86666666666667,26.27985663082437,0.49999999999999994,0.8660254037844387,5.030437921392435,0
Eastern,Ampara,88,2,2020,2020-02-01,Kalmunai,28.403448275862072,24.95862068965517,26.686206896551724,65.6,65.6,4.4093103448275865,20.26551724137931,7.4000015,81.80002,26.31290322580645,26.0,26.526666666666664,26.529032258064515,74.1,291.1,252.4,349.8,4.041612903225807,2.9561290322580644,3.4856666666666665,3.3680645161290323,143.6,26.333036707452724,0.8660254037844386,0.5000000000000001,4.48863636973214,0
Eastern,Ampara,39,3,2020,2020-03-01,Kalmunai,30.080645161290324,25.05806451612903,27.60967741935484,8.7,8.7,5.11,17.629032258064516,7.4000015,81.80002,26.686206896551724,26.31290322580645,26.0,26.526666666666664,65.6,74.1,291.1,252.4,4.4093103448275865,4.041612903225807,2.9561290322580644,3.4856666666666665,49.46666666666666,26.869595847237672,1.0,6.123233995736766e-17,3.6888794541139363,0
Eastern,Ampara,3,4,2020,2020-04-01,Kalmunai,31.37,26.08,28.646666666666665,50.7,50.7,5.03,15.71,7.4000015,81.80002,27.60967741935484,26.686206896551724,26.31290322580645,26.0,8.7,65.6,74.1,291.1,5.11,4.4093103448275865,4.041612903225807,2.9561290322580644,41.666666666666664,27.64751699419108,0.8660254037844387,-0.4999999999999998,1.3862943611198906,0
Eastern,Ampara,6,5,2020,2020-05-01,Kalmunai,32.10645161290322,26.73548387096774,29.203225806451613,89.2,89.2,4.526774193548388,14.47741935483871,7.4000015,81.80002,28.646666666666665,27.60967741935484,26.686206896551724,26.31290322580645,50.7,8.7,65.6,74.1,5.03,5.11,4.4093103448275865,4.041612903225807,49.53333333333334,28.486523297491043,0.49999999999999994,-0.8660254037844387,1.9459101490553132,0
Eastern,Ampara,10,6,2020,2020-06-01,Kalmunai,33.06333333333333,26.66333333333333,29.67,40.6,40.6,4.718333333333334,12.476666666666668,7.4000015,81.80002,29.203225806451613,28.646666666666665,27.60967741935484,26.686206896551724,89.2,50.7,8.7,65.6,4.526774193548388,5.03,5.11,4.4093103448275865,60.16666666666668,29.17329749103943,1.2246467991473532e-16,-1.0,2.3978952727983707,0
Eastern,Ampara,5,7,2020,2020-07-01,Kalmunai,32.148387096774194,26.44516129032258,28.83870967741936,73.5,73.5,4.492580645161291,14.806451612903226,7.4000015,81.80002,29.67,29.203225806451613,28.646666666666665,27.60967741935484,40.6,89.2,50.7,8.7,4.718333333333334,4.526774193548388,5.03,5.11,67.76666666666667,29.23731182795699,-0.4999999999999997,-0.8660254037844388,1.791759469228055,0
